number,draft,opened,closed,ballot_type,pool,vote_for,vote_against,vote_abstain,vote_invalid,comments,instructions_url,draft_url,redline_url,resolution_url,template_url,pool_url,project_id,project.task_group
127,1.00,2008-04-03,2008-05-03,WI,233,103,59,47,,,LetterBallots/LB127z/LetterBallot127Instructions.htm,private/Draft_Standards/11z/Draft%20P802.11z_D1.0.pdf,,,LetterBallots/LB127z/LB127_CommentForm.xls,LetterBallots/LB127z/Voters-List-LB127.xls,113,TGz
128,6.00,2008-04-03,2008-04-18,WR,427,266,8,54,,,LetterBallots/LB128w/LetterBallot128Instructions.htm,private/Draft_Standards/11w/Draft%20P802.11w_D6.0.pdf,private/Draft_Standards/11w/11-08-0448-00-000w-Redlined%20Draft%20P802.11w_D6.0%20Compared%20To%20Draft%20P802.11w_5.0.pdf,private/Draft_Standards/11w/11-08-0261-05-000w-lb121-comment-resolution.xls,LetterBallots/LB128w/LB128_CommentForm.xls,LetterBallots/LB128w/Voters-List-LB128.xls,115,TGw
129,5.00,2008-05-23,2008-06-12,WR,325,261,29,23,,,http://www.ieee802.org/11/LetterBallots/LB129n/LB129_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D5.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D5.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/11-08-0460-02-000n-tgn-lb124-composite-comments.xls,http://www.ieee802.org/11/LetterBallots/LB129n/LB129_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB129n/LB129_voters_list.xls,74,TGn
130,3.00,2008-05-27,2008-06-11,PROC,212,159,8,19,,,http://www.ieee802.org/11/LetterBallots/LB130u/LB130_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D3.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D3.0 Redline.pdf,,http://www.ieee802.org/11/LetterBallots/LB130u/LB130_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB130u/LB130_voters_list.xls,64,TGu
131,2.02,2008-05-28,2008-06-12,PROC,213,175,14,18,,,http://www.ieee802.org/11/LetterBallots/LB131v/LB131_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D2.02.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D2.02 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-08-0265-04-000v-lb123-comments.xls,http://www.ieee802.org/11/LetterBallots/LB131v/LB131_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB131v/LB131_voters_list.xls,71,TGv
132,3.00,2008-06-12,2008-07-12,WI,213,113,34,35,,,http://www.ieee802.org/11/LetterBallots/LB132u/LB132_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D3.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D3.0 Redline.pdf,,http://www.ieee802.org/11/LetterBallots/LB132u/LB132_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB132u/LB132_voters_list.xls,64,TGu
133,3.00,2008-06-13,2008-07-13,WI,213,106,47,28,,,http://www.ieee802.org/11/LetterBallots/LB133v/LB133_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D3.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/Draft P802.11v_D3.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11v/11-08-0265-04-000v-lb123-comments.xls,http://www.ieee802.org/11/LetterBallots/LB133v/LB133_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB133v/LB133_voters_list.xls,71,TGv
134,6.00,2008-07-21,2008-08-05,WR,325,266,27,21,,,http://www.ieee802.org/11/LetterBallots/LB134n/LB134_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D6.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D6.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/11-08-0713-02-000n-tgn-lb129-composite-comments.xls,http://www.ieee802.org/11/LetterBallots/LB134n/LB134_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB134n/LB134_voters_list.xls,74,TGn
135,2.00,2008-07-21,2008-08-20,WI,242,99,51,48,,,http://www.ieee802.org/11/LetterBallots/LB135z/LB135_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D2.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB135z/LB135_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB135z/LB135_voters_list.xls,113,TGz
136,7.00,2008-09-15,2008-09-30,WR,325,276,17,21,,,http://www.ieee802.org/11/LetterBallots/LB136n/LB136_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D7.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D7.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11n/11-08-0958-02-000n-tgn-lb134-composite-comments.xls,http://www.ieee802.org/11/LetterBallots/LB136n/LB136_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB136n/LB136_voters_list.xls,74,TGn
137,4.00,2008-09-23,2008-10-08,WR,213,118,34,37,,,http://www.ieee802.org/11/LetterBallots/LB137u/LB137_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D4.0.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/Draft P802.11u_D4.0 Redline.pdf,http://www.ieee802.org/11/private/Draft_Standards/11u/11-08-0722-27-000u-lb-132-comment-spreadsheet.xls,http://www.ieee802.org/11/LetterBallots/LB137u/LB137_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB137u/LB137_voters_list.xls,64,TGu
138,7.00,2008-11-17,2008-12-02,WR,325,281,14,20,,,http://www.ieee802.org/11/LetterBallots/LB138n/LB138_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11n/Draft P802.11n_D7.0.pdf,,http://www.ieee802.org/11/private/Draft_Standards/11n/11-08-1417-00-000n-p802-11n-wg-ballot-unsatisfied-comments.xls,http://www.ieee802.org/11/LetterBallots/LB138n/LB138_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB138n/LB138_voters_list.xls,74,TGn
139,3.00,2008-11-18,2008-12-18,WI,254,155,29,41,,,http://www.ieee802.org/11/LetterBallots/LB139z/LB139_instructions.html,http://www.ieee802.org/11/private/Draft_Standards/11z/Draft P802.11z_D3.0.pdf,,,http://www.ieee802.org/11/LetterBallots/LB139z/LB139_comment_form.xls,http://www.ieee802.org/11/LetterBallots/LB139z/LB139_voters_list.xls,113,TGz
